******************** DIAGRAMAS DE ESFORCOS RESISTENTES ********************
PONTOS DO DIAGRAMA Nr Mrx

   PONTO          Nr               Mrx
  350     -8.536937E+02      0.000000E+00
  351     -8.536937E+02      0.000000E+00
  352     -8.536937E+02      0.000000E+00
  353     -8.536937E+02      0.000000E+00
  354     -8.536937E+02      0.000000E+00
  355     -8.536937E+02      0.000000E+00
  356     -8.536937E+02      0.000000E+00
  357     -8.536937E+02      0.000000E+00
  358     -8.536937E+02      0.000000E+00
  359     -8.536937E+02      0.000000E+00
  360     -8.536937E+02      0.000000E+00
  361     -8.536937E+02      0.000000E+00
  362     -8.517974E+02     -4.171837E+01
  363     -8.269821E+02     -5.876537E+02
  364     -8.021669E+02     -1.133589E+03
  365     -7.773516E+02     -1.679524E+03
  366     -7.525364E+02     -2.225459E+03
  367     -7.277212E+02     -2.771395E+03
  368     -7.029059E+02     -3.317330E+03
  369     -6.780907E+02     -3.863265E+03
  370     -6.532754E+02     -4.409201E+03
  371     -6.284602E+02     -4.955136E+03
  372     -6.036450E+02     -5.501071E+03
  373     -5.788297E+02     -6.047006E+03
  374     -5.540145E+02     -6.592942E+03
  375     -5.283944E+02     -7.158843E+03
  376     -5.010265E+02     -7.767402E+03
  377     -4.721000E+02     -8.412942E+03
  378     -4.417992E+02     -9.090079E+03
  379     -4.102992E+02     -9.793812E+03
  380     -3.777663E+02     -1.051950E+04
  381     -3.443587E+02     -1.126284E+04
  382     -3.102267E+02     -1.201981E+04
  383     -2.755134E+02     -1.278668E+04
  384     -2.403552E+02     -1.355998E+04
  385     -2.048821E+02     -1.433647E+04
  386     -1.692178E+02     -1.511314E+04
  387     -1.334805E+02     -1.588716E+04
  388     -9.778313E+01     -1.665592E+04
  389     -6.223329E+01     -1.741696E+04
  390     -2.690938E+01     -1.816861E+04
  391      8.183575E+00     -1.891100E+04
  392      4.305310E+01     -1.964461E+04
  393      7.770641E+01     -2.036986E+04
  394      1.121504E+02     -2.108715E+04
  395      1.463917E+02     -2.179686E+04
  396      1.804366E+02     -2.249936E+04
  397      1.975551E+02     -2.282678E+04
  398      2.064100E+02     -2.296991E+04
  399      2.150860E+02     -2.310678E+04
  400      2.235885E+02     -2.323769E+04
  401      2.252924E+02     -2.326294E+04
  402      2.270224E+02     -2.328846E+04
  403      2.287792E+02     -2.331422E+04
  404      2.305634E+02     -2.334025E+04
  405      2.323757E+02     -2.336654E+04
  406      2.342167E+02     -2.339309E+04
  407      2.360871E+02     -2.341991E+04
  408      2.379876E+02     -2.344700E+04
  409      2.399190E+02     -2.347436E+04
  410      2.418819E+02     -2.350199E+04
  411      2.438773E+02     -2.352990E+04
  412      2.459058E+02     -2.355809E+04
  413      2.479684E+02     -2.358656E+04
  414      2.500658E+02     -2.361532E+04
  415      2.521991E+02     -2.364436E+04
  416      2.543690E+02     -2.367369E+04
  417      2.565766E+02     -2.370331E+04
  418      2.588229E+02     -2.373322E+04
  419      2.611089E+02     -2.376343E+04
  420      2.634355E+02     -2.379393E+04
  421      2.658041E+02     -2.382472E+04
  422      2.682156E+02     -2.385582E+04
  423      2.706712E+02     -2.388721E+04
  424      2.731723E+02     -2.391890E+04
  425      2.757200E+02     -2.395089E+04
  426      2.783156E+02     -2.398319E+04
  427      2.809606E+02     -2.401578E+04
  428      2.836564E+02     -2.404866E+04
  429      2.864044E+02     -2.408185E+04
  430      2.892061E+02     -2.411534E+04
  431      2.920632E+02     -2.414912E+04
  432      2.949774E+02     -2.418319E+04
  433      2.979502E+02     -2.421755E+04
  434      3.009836E+02     -2.425220E+04
  435      3.040794E+02     -2.428713E+04
  436      3.072396E+02     -2.432234E+04
  437      3.104661E+02     -2.435782E+04
  438      3.137611E+02     -2.439357E+04
  439      3.171268E+02     -2.442958E+04
  440      3.205655E+02     -2.446583E+04
  441      3.240795E+02     -2.450233E+04
  442      3.276715E+02     -2.453906E+04
  443      3.313440E+02     -2.457601E+04
  444      3.350997E+02     -2.461316E+04
  445      3.389416E+02     -2.465050E+04
  446      3.428726E+02     -2.468802E+04
  447      3.468958E+02     -2.472569E+04
  448      3.510146E+02     -2.476349E+04
  449      3.552323E+02     -2.480141E+04
  450      3.595526E+02     -2.483941E+04
  451      3.639794E+02     -2.487747E+04
  452      3.685164E+02     -2.491556E+04
  453      3.731681E+02     -2.495364E+04
  454      3.779386E+02     -2.499168E+04
  455      3.828327E+02     -2.502962E+04
  456      3.878552E+02     -2.506744E+04
  457      3.930113E+02     -2.510507E+04
  458      3.983063E+02     -2.514246E+04
  459      4.037459E+02     -2.517954E+04
  460      4.093361E+02     -2.521626E+04
  461      4.150833E+02     -2.525253E+04
  462      4.209942E+02     -2.528827E+04
  463      4.270759E+02     -2.532339E+04
  464      4.333359E+02     -2.535779E+04
  465      4.397821E+02     -2.539135E+04
  466      4.464230E+02     -2.542396E+04
  467      4.532675E+02     -2.545548E+04
  468      4.603252E+02     -2.548575E+04
  469      4.676061E+02     -2.551461E+04
  470      4.751211E+02     -2.554189E+04
  471      4.828816E+02     -2.556736E+04
  472      4.908998E+02     -2.559081E+04
  473      4.991887E+02     -2.561199E+04
  474      5.077624E+02     -2.563062E+04
  475      5.166358E+02     -2.564640E+04
  476      5.258248E+02     -2.565897E+04
  477      5.423392E+02     -2.551412E+04
  478      5.722594E+02     -2.507805E+04
  479      6.025507E+02     -2.463751E+04
  480      6.332343E+02     -2.419194E+04
  481      6.643332E+02     -2.374077E+04
  482      6.958722E+02     -2.328332E+04
  483      7.278781E+02     -2.281885E+04
  484      7.603800E+02     -2.234651E+04
  485      7.934094E+02     -2.186536E+04
  486      8.270004E+02     -2.137433E+04
  487      8.611905E+02     -2.087221E+04
  488      8.960201E+02     -2.035764E+04
  489      9.315338E+02     -1.982906E+04
  490      9.677800E+02     -1.928470E+04
  491      1.004812E+03     -1.872256E+04
  492      1.042689E+03     -1.814032E+04
  493      1.081475E+03     -1.753535E+04
  494      1.121241E+03     -1.690461E+04
  495      1.162067E+03     -1.624461E+04
  496      1.204040E+03     -1.555128E+04
  497      1.247258E+03     -1.481995E+04
  498      1.291830E+03     -1.404513E+04
  499      1.337878E+03     -1.322044E+04
  500      1.385541E+03     -1.233837E+04
  501      1.393351E+03     -1.218434E+04
  502      1.401118E+03     -1.203107E+04
  503      1.408843E+03     -1.187858E+04
  504      1.416524E+03     -1.172686E+04
  505      1.424161E+03     -1.157591E+04
  506      1.431756E+03     -1.142573E+04
  507      1.439308E+03     -1.127632E+04
  508      1.446816E+03     -1.112768E+04
  509      1.454281E+03     -1.097982E+04
  510      1.461703E+03     -1.083272E+04
  511      1.469082E+03     -1.068640E+04
  512      1.476417E+03     -1.054084E+04
  513      1.483710E+03     -1.039606E+04
  514      1.490959E+03     -1.025205E+04
  515      1.498165E+03     -1.010881E+04
  516      1.505328E+03     -9.966336E+03
  517      1.512448E+03     -9.824637E+03
  518      1.519524E+03     -9.683709E+03
  519      1.526558E+03     -9.543552E+03
  520      1.533548E+03     -9.404167E+03
  521      1.540495E+03     -9.265552E+03
  522      1.547399E+03     -9.127708E+03
  523      1.554260E+03     -8.990635E+03
